"stream 1"
15000	0.02649110	0.02649110	6.03009974e+10	1.85541530e+10	0.00000000	0.00000000	8	1	256	1024
30000	0.05342672	0.05342672	5.97992918e+10	1.83997821e+10	0.00000000	0.00000000	8	1	256	1024
60000	0.10716087	0.10716087	5.96277377e+10	1.83469962e+10	0.00000000	0.00000000	8	1	256	1024
120000	0.21345441	0.21345441	5.98700219e+10	1.84215452e+10	0.00000000	0.00000000	8	1	256	1024
240000	0.42918536	0.42918536	5.95524502e+10	1.83238308e+10	0.00000000	0.00000000	8	1	256	1024


"stream 2"
15000	0.01918960	0.01918960	8.32450911e+10	2.56138742e+10	0.00000000	0.00000000	8	2	256	1024
30000	0.03823395	0.03823395	8.35613341e+10	2.57111797e+10	0.00000000	0.00000000	8	2	256	1024
60000	0.07585440	0.07585440	8.42371695e+10	2.59191291e+10	0.00000000	0.00000000	8	2	256	1024
120000	0.15176918	0.15176918	8.42036570e+10	2.59088175e+10	0.00000000	0.00000000	8	2	256	1024
240000	0.30323688	0.30323688	8.42873737e+10	2.59345765e+10	0.00000000	0.00000000	8	2	256	1024


"stream 3"
15000	0.01689616	0.01689616	9.45445585e+10	2.90906334e+10	0.00000000	0.00000000	8	3	256	1024
30000	0.03369418	0.03369418	9.48199483e+10	2.91753687e+10	0.00000000	0.00000000	8	3	256	1024
60000	0.06720320	0.06720320	9.50811848e+10	2.92557492e+10	0.00000000	0.00000000	8	3	256	1024
120000	0.13411961	0.13411961	9.52844976e+10	2.93183069e+10	0.00000000	0.00000000	8	3	256	1024
240000	0.26802664	0.26802664	9.53600725e+10	2.93415608e+10	0.00000000	0.00000000	8	3	256	1024


"stream 4"
15000	0.01570003	0.01570003	1.01747562e+11	3.13069421e+10	0.00000000	0.00000000	8	4	256	1024
30000	0.03128998	0.03128998	1.02105518e+11	3.14170825e+10	0.00000000	0.00000000	8	4	256	1024
60000	0.06224982	0.06224982	1.02647036e+11	3.15837035e+10	0.00000000	0.00000000	8	4	256	1024
120000	0.12440304	0.12440304	1.02726752e+11	3.16082313e+10	0.00000000	0.00000000	8	4	256	1024
240000	0.24865831	0.24865831	1.02787797e+11	3.16270146e+10	0.00000000	0.00000000	8	4	256	1024


"stream 5"
15000	0.01507747	0.01507747	1.05948798e+11	3.25996300e+10	0.00000000	0.00000000	8	5	256	1024
30000	0.02995133	0.02995133	1.06669059e+11	3.28212489e+10	0.00000000	0.00000000	8	5	256	1024
60000	0.05958099	0.05958099	1.07244938e+11	3.29984426e+10	0.00000000	0.00000000	8	5	256	1024
120000	0.11920138	0.11920138	1.07209499e+11	3.29875382e+10	0.00000000	0.00000000	8	5	256	1024
240000	0.23828291	0.23828291	1.07263419e+11	3.30041290e+10	0.00000000	0.00000000	8	5	256	1024


